census tag,ID,plot,observation,dbh08 mm,dbh10 mm,dbh16 (mm),Co2 flux,sapwood,stem temperature,air temperature,circumference (cm),diameter (cm),recip diam,species name,species,growth rate(16-10/16) ,d1-d2time,weight of dry wood (grams),dbh 08,dbh 10,vol1 cm3,dbh 16,vol2 cm3,vol diff,mass new (vol diff*specific gravity) g,AFDW,C/g,co2/g,per cm3,per cm2 ,per m2,per m2 hr,,,,,as % total,Rm(flux-AG)
3414,26,2,8,937,947.5,983,0.65,7,24.9,23.6,319,101.5409395,0.009848245,ash,2,982,825.0833333,8.085667263,937,947.5,4102.204774,983,4255.902156,153.697382,89.14448157,88.5204702,44.2602351,38.33212707,0.009172442,0.44268538,44.26853802,0.000842248,,,,,0.129576566,0.649157752
3894,27,9,8,420,447.5,487,0.78,2,23.6,20.8,180,57.29582791,0.017453278,ash,2,486,412.4166667,8.996728362,420,447.5,1937.452914,487,2108.468311,171.0153969,99.1889302,98.49460769,49.24730384,42.65123998,0.021083574,0.492565423,49.25654231,0.000937149,,,,,0.120147285,0.779062851
4229,28,8,7,371,391,452,1.14,13,21.6,20.9,134,42.65356078,0.023444701,ash,2,451,386.8333333,13.89368178,371,391,1692.835954,452,1956.935681,264.0997268,153.1778416,152.1055967,76.05279834,65.86647187,0.036093476,0.760670653,76.06706534,0.001447242,,,,,0.126951096,1.138552758
14985,29,23,1,364.5,377,412,0.82,14.5,23.1,22.6,141,44.88173186,0.02228078,ash,2,411,349.1666667,7.971784625,364.5,377,1632.222902,412,1783.755532,151.5326302,87.88892549,87.27370301,43.63685151,37.79223796,0.022126743,0.436450375,43.64503749,0.000830385,,,,,0.101266468,0.819169615
17146,30,23,2,228,232.5,253,0.54,14.64226713,23.5,21.5,92,29.28453426,0.034147717,ash,2,252,214.25,4.669188138,228,232.5,1006.609615,253,1095.364441,88.75482623,51.47779922,51.11745462,25.55872731,22.13545366,0.021061586,0.25563522,25.56352196,0.000486368,,,,,0.090068218,0.539513632
17182,31,23,3,400,411,456,0.77,8.6,25.5,25.1,154,49.01976388,0.020399935,ash,2,455,387.5,10.24943738,400,411,1779.426028,456,1974.253696,194.8276673,113.0000471,112.2090467,56.10452336,48.59002024,0.025889273,0.561150482,56.1150482,0.001067638,,,,,0.138654273,0.768932362
17216,32,23,4,419,435,484,0.64,5.1,24,24.3,164,52.20286543,0.019156037,ash,2,483,411.5,11.16049848,419,435,1883.334118,484,2095.4798,212.1456822,123.0444957,122.1831842,61.09159211,52.90913315,0.02659543,0.611030525,61.10305248,0.001162539,,,,,0.181646727,0.638837461
11567,33,23,5,485,506,547,0.72,4.4,24.5,24.2,183,58.25075837,0.017167158,ash,2,546,462.6666667,9.338376275,485,506,2190.728882,547,2368.238534,177.5096525,102.9555984,102.2349092,51.11745462,44.27090733,0.019421462,0.511270439,51.12704391,0.000972737,,,,,0.135102327,0.719027263
11863,34,23,6,365,379,420,0.92,4.4,25,24.5,143,45.51835217,0.021969161,ash,2,419,356.8333333,9.338376275,365,379,1640.881909,420,1818.391562,177.5096525,102.9555984,102.2349092,51.11745462,44.27090733,0.025595494,0.511270439,51.12704391,0.000972737,,,,,0.105732256,0.919027263
,35,23,7,,,,0.84,25,23.5,22.3,159,50.61131465,0.019758428,ash,2,,,0,,,0,,0,0,0,0,0,,,0,0,0,,,,,0,
