census tag,ID,plot,observation,dbh08 (in mm),,dbh10 (in mm),hom10,,dbh16 (mm),RGR,RGR 2,Co2 flux,sapwood,stem temperature,air temperature,circumference (cm),diameter (cm),species name,species,volume1,volume2,vol diff,growth rate,d1-d2/time,,new wood cm3,g co2 (vol),by area 
6862,1,7,7,606.5,,610,1.3,,625,2.746498168,608.9878543,0.27,2.3,20.1,19.4,205,65.25358179,oak,1,239.5462375,245.4367188,5.89048125,624,523.3333333,,64.94255578,14.80040846,129.8502536
5882,2,3,6,722,,727,1.3,,745,2.821643352,725.9877717,0.18,1.5,20.6,20.3,240,76.39443721,oak,1,285.4919913,292.5605688,7.0685775,744,623.8333333,,77.93106694,17.76049016,155.8203043
ww,3,11,5,,,,,,,,,0.9,4.4,25.3,25,290,92.30994496,oak,1,0,0,,,,,,,
ww,4,12,5,,,,,,,,,0.15,3.5,25.7,24.8,223,70.98316458,oak,1,0,0,,,,,,,
ww,5,13,7,,,,,,,,,0.24,2.6,26.6,25.7,209,66.52682241,oak,1,0,0,,,,,,,
ww,6,14,6,,,,,,,,,0.33,3.7,26.5,26.5,248,78.94091845,oak,1,0,0,,,,,,,
14463,7,21,1,637,,640,1.3,,652,2.767093202,638.9907121,0.27,1.5,26.5,25.7,208,66.20851225,oak,1,251.3272,256.039585,4.712385,651,545.3333333,,51.95404463,11.84032677,103.8802029
15160,8,21,2,746.5,,754,1.3,,777,2.837226609,752.9849771,0.21,3.5,25.4,25.9,250,79.57753876,oak,1,296.0948575,305.1269288,9.03207125,776,651.3333333,,99.57858553,22.69395964,199.1037222
5340,9,21,3,93,,92,1.3,,94,1.936383274,90.98924731,0.07,1.5,26.6,26.7,146,46.47328264,oak,1,36.128285,36.9136825,0.7853975,93,78.66666667,,8.659007438,1.973387795,17.31336715
5371,10,21,4,125,,127.5,1.3,,145,2.075491185,126.4357798,0.27,3,26.8,26.4,205,65.25358179,oak,1,50.06909063,56.94131875,6.872228125,144,123.75,,75.76631508,17.26714321,151.4919625
,11,21,5,,,,,,,,,0.27,3.3,25.6,25.7,181,57.61413806,oak,1,0,0,,,,,,,
5407,12,21,6,187,,178,1.3,,182,2.219030122,176.9888889,0.06,2.2,25.8,26.1,227,72.2564052,oak,1,69.9003775,71.4711725,1.570795,181,152.3333333,,17.31801487,3.94677559,34.6267343
3095,13,22,7,587,,588,1.3,,589,2.730903503,586.9991504,0.15,2.2,25.4,26.4,208,66.20851225,oak,1,230.906865,231.2995638,0.39269875,588,491,,4.329503719,0.986693898,8.656683574
,14,21,8,,,,,,,,,0.18,1.8,25.4,27.1,190,60.47892946,oak,1,0,0,,,,,,,
4634,15,5,7,688,,692.5,1.3,,724,2.800701187,691.4777621,0.4,2.8,20,18,220,70.02823411,oak,1,271.9438844,284.313895,12.37001063,723,608.5833333,,136.3793671,31.08085777,272.6855326
,16,23,1,,,,,,,,,0.54,4.6,24.1,22.3,231,73.52964582,oak,1,0,0,,,,,,,
,17,23,2,,,,,,,,,0.2,3.4,23.7,22.3,134,42.65356078,oak,1,0,0,,,,,,,
12570,18,23,3,1147,,1146,1.3,,1189,3.016473759,1144.981585,0.2,2.4,23.2,22.6,381,121.2761691,oak,1,450.0327675,466.9188138,16.88604625,1188,998,,186.1686599,42.42783759,372.2373937
16123,19,23,4,,,,,,,,,0.4,2.2,22.6,23.1,202,64.29865132,oak,1,0,0,,,,,,,
6075,20,23,5,753,,752.5,1.3,,769,2.836424194,751.4891554,0.5,2.5,21.6,23,246,78.30429814,oak,1,295.5058094,301.9853388,6.479529375,768,643.5833333,,71.43681136,16.28044931,142.835279
6203,21,23,6,502,,496.5,1.4,,506,2.658361607,495.4905237,0.1,2.6,22.8,22.4,175,55.70427713,oak,1,194.9749294,198.7055675,3.730638125,505,423.25,,41.13028533,9.373592026,82.23849396
8435,22,23,7,1093,,1095.5,1.3,,1112,2.997305371,1094.492525,0.24,3.3,24.1,23.2,355,113.000105,oak,1,430.2014806,436.68101,6.479529375,1111,929.4166667,,71.43681136,16.28044931,142.835279
,23,23,8,,,,,,,,,0.27,4.3,24,22.8,158,50.2930045,oak,1,0,0,,,,,,,
3502,24,23,9,525,,524.5,1.3,,535,2.68185169,523.4900897,0.36,3.9,23,23.4,184,58.56906853,oak,1,205.9704944,210.0938313,4.123336875,534,447.5833333,,45.45978905,10.36028592,90.89517753
,25,23,10,,,,,,,,,0.48,4.1,22.3,22.3,325,103.4508004,oak,1,0,0,,,,,,,
,,,,,,,,,0.2896,,,,,,,,,,,,,,,,,,,
